train_window,test_window,pt_variant,train_n_matched,train_win_rate,train_avg_pnl,train_sharpe,test_n_matched,test_win_rate,test_avg_pnl,test_sharpe
2024-01-01 → 2024-12-31,2025-01-01 → 2025-06-30,pt50,5,0.8,368.54767295599993,1.4971774098886763,2,0.5,354.8933829800002,0.735909791027773
2024-04-01 → 2025-03-31,2025-04-01 → 2025-09-30,pt50,5,0.8,548.2356325759998,1.8901826090348366,1,0.0,-826.375995399999,0.0
2024-07-01 → 2025-06-30,2025-07-01 → 2025-12-31,pt50,4,0.5,142.88340697999996,0.37451777194381425,1,1.0,809.15007106,0.0
2024-10-01 → 2025-09-30,2025-10-01 → 2026-03-31,pt50,3,0.6666666666666666,568.6192056400002,1.591187377343424,1,1.0,809.15007106,0.0
2024-01-01 → 2024-12-31,2025-01-01 → 2025-06-30,hte,5,1.0,944.772444476,10.020461562198541,2,1.0,1247.55876114,9.660090336681128
2024-04-01 → 2025-03-31,2025-04-01 → 2025-09-30,hte,5,1.0,1120.566356276,10.124571566399196,1,1.0,931.2177868400004,0.0
2024-07-01 → 2025-06-30,2025-07-01 → 2025-12-31,hte,4,1.0,1070.9724953099999,10.931301324367297,1,1.0,905.89512324,0.0
2024-10-01 → 2025-09-30,2025-10-01 → 2026-03-31,hte,3,1.0,1163.7294577466666,11.581754813767546,1,1.0,905.89512324,0.0
