variant,timing,n,win_rate,avg_pnl_contract,total_pnl_contract,worst_cycle_pnl,best_cycle_pnl,std_pnl_contract,sharpe,sortino,max_loss_rate
pt50,first_fire,8,0.75,472.0114317550001,3776.091454040001,-745.9491455200002,1536.1627613599994,670.0294102969536,2.44033401814603,3.8208605837369976,0.0
pt50,plus_one_day,8,0.75,443.0304395199999,3544.243516159999,-539.0781687400004,1259.2735534400003,666.1783532418754,2.3037411132138703,45.45432117858065,0.0
pt50,worst_of_two,8,0.625,177.92497522749989,1423.399801819999,-745.9491455200002,671.8367957400003,576.7919028161256,1.0685832984992725,2.003710003750351,0.0
hte,first_fire,8,1.0,1140.0973079175,9120.77846334,684.9301764399999,1563.8997354399994,356.86134744607966,11.067079564754371,0.0,0.0
hte,plus_one_day,8,0.75,-209.59127378499397,-1676.7301902799518,-6096.338339919953,1446.1738076400006,2583.9533222338273,-0.28098242479462077,-0.23292772346261034,0.0
hte,worst_of_two,8,0.75,-227.70645911999384,-1821.6516729599507,-6096.338339919953,1446.1738076400006,2571.3390132890854,-0.3067655835104728,-0.25305990169686887,0.0
