v3_first_fire,entry_date,expiry,trade_found,outcome,bp_per_lot,pnl_per_lot,lots_fixed,pnl_fixed,lots_compound,pnl_compound,equity_after_compound
2024-02-22,2024-02-22,2024-03-28,True,profit_take,8643.0,637.72,115,73338.0,115,73338.0,1073338.0
2024-05-03,2024-05-03,2024-05-30,True,profit_take,3705.0,671.84,269,180724.0,289,194161.0,1267499.0
2024-05-23,2024-05-23,2024-06-27,True,profit_take,4266.0,671.43,234,157115.0,297,199415.0,1466914.0
2024-09-06,2024-08-22,2024-09-26,True,managed,8482.0,-1134.32,117,-132716.0,172,-195104.0,1271810.0
2024-11-22,2024-11-21,2024-12-26,True,expired_worthless,8170.0,996.07,122,121521.0,155,154391.0,1426201.0
2025-01-06,2025-01-06,2025-01-30,True,profit_take,7244.0,1536.16,138,211990.0,196,301088.0,1727289.0
2025-04-24,2025-04-22,2025-05-27,True,managed,8268.0,-826.38,120,-99165.0,208,-171886.0,1555403.0
2025-10-30,2025-10-21,2025-11-25,True,profit_take,8312.0,809.15,120,97098.0,187,151311.0,1706714.0
