v3_first_fire,entry_date,expiry,trade_found,outcome,bp_per_lot,pnl_per_lot,lots_fixed,pnl_fixed,lots_compound,pnl_compound,equity_after_compound
2024-02-22,2024-02-22,2024-03-28,True,expired_worthless,8643.0,684.93,115,78767.0,115,78767.0,1078767.0
2024-05-03,2024-05-03,2024-05-30,True,expired_worthless,3705.0,1491.41,269,401190.0,291,434001.0,1512768.0
2024-05-23,2024-05-23,2024-06-27,True,expired_worthless,4266.0,758.75,234,177547.0,354,268596.0,1781364.0
2024-09-06,2024-08-22,2024-09-26,True,expired_worthless,8482.0,792.7,117,92746.0,210,166467.0,1947832.0
2024-11-22,2024-11-21,2024-12-26,True,expired_worthless,8170.0,996.07,122,121521.0,238,237065.0,2184897.0
2025-01-06,2025-01-06,2025-01-30,True,partial_loss,7244.0,1563.9,138,215818.0,301,470734.0,2655630.0
2025-04-24,2025-04-22,2025-05-27,True,expired_worthless,8268.0,931.22,120,111746.0,321,298921.0,2954551.0
2025-10-30,2025-10-21,2025-11-25,True,expired_worthless,8312.0,905.9,120,108707.0,355,321593.0,3276144.0
