underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,param_delta,param_width,param_pt,param_manage
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-28,35,0,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,684.9301764399999,737.7499999999999,52.81982356,8643.375,expired_worthless,-0.2968697147116397,14.483957,1.0,0.3,100.0,1.0,
NIFTY,2024,4,2024-03-21,2024-04-25,2024-04-25,35,0,22014.8,22570.35,21800.0,21700.0,100.0,12.799999999999997,0.0,12.799999999999997,779.9026688599997,831.9999999999998,52.097331139999994,10202.4,expired_worthless,-0.30466893842334786,10.466896,1.2,0.3,100.0,1.0,
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.0,12.5,758.74588178,812.5,53.754118219999995,4265.625,expired_worthless,-0.30678153301772404,14.484429,0.5,0.3,100.0,1.0,
NIFTY,2024,7,2024-06-20,2024-07-25,2024-07-25,35,0,23579.15,24406.1,23250.0,23150.0,100.0,12.25,0.0,12.25,743.97885834,796.25,52.27114166,8555.625,expired_worthless,-0.2927230709430595,12.453311,1.0,0.3,100.0,1.0,
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-26,35,0,24810.9,26216.05,24500.0,24400.0,100.0,13.0,0.0,13.0,792.701608,845.0,52.29839200000001,8482.5,expired_worthless,-0.29302183685673056,11.553228,1.0,0.3,100.0,1.0,
NIFTY,2024,11,2024-10-24,2024-11-28,2024-11-28,35,0,24414.6,23914.15,24050.0,23950.0,100.0,12.049999999999997,100.0,-87.95,-5772.7788044,-5716.75,56.02880439999988,8575.125,max_loss,-0.2974504788923489,13.449682,1.0,0.3,100.0,1.0,
NIFTY,2024,12,2024-11-21,2024-12-26,2024-12-26,35,0,23346.75,23750.2,22950.0,22850.0,100.0,16.200000000000003,0.0,16.200000000000003,996.0708509600003,1053.0000000000002,56.92914904,8170.5,expired_worthless,-0.3259205417150256,17.817483,1.0,0.3,100.0,1.0,
NIFTY,2025,2,2025-01-23,2025-02-27,2025-02-27,35,0,23216.3,22545.05,22800.0,22700.0,100.0,12.449999999999996,100.0,-87.55000000000001,-5757.398789620001,-5690.750000000001,66.64878962000006,8536.125000000002,max_loss,-0.3032385984527599,16.022788,1.0,0.3,100.0,1.0,
NIFTY,2025,3,2025-02-20,2025-03-27,2025-03-27,35,0,22906.25,23591.95,22550.0,22450.0,100.0,14.25,0.0,14.25,873.26662214,926.25,52.983377860000004,8360.625,expired_worthless,-0.29979084864981786,14.058411,1.0,0.3,100.0,1.0,
NIFTY,2025,4,2025-03-25,2025-04-29,2025-04-29,35,0,23605.95,24335.95,23200.0,23100.0,100.0,3.8000000000000007,0.0,3.8000000000000007,197.99953406000006,247.00000000000006,49.00046594,11255.4,expired_worthless,-0.3276823741432632,18.211203,1.2,0.3,100.0,1.0,
NIFTY,2025,5,2025-04-22,2025-05-27,2025-05-27,35,0,24134.05,24826.2,23750.0,23650.0,100.0,15.200000000000003,0.0,15.200000000000003,931.2177868400003,988.0000000000002,56.78221316,8268.0,expired_worthless,-0.31662328368849724,15.894331,1.0,0.3,100.0,1.0,
NIFTY,2025,6,2025-05-20,2025-06-24,2025-06-24,35,0,24713.85,25044.35,24300.0,24200.0,100.0,17.700000000000003,0.0,17.700000000000003,1091.9438770400002,1150.5000000000002,58.556122959999996,4012.125,expired_worthless,-0.3163693582368333,16.506795,0.5,0.3,100.0,1.0,
NIFTY,2025,7,2025-06-24,2025-07-29,2025-07-29,35,0,25071.55,24821.1,24650.0,24550.0,100.0,3.8000000000000007,0.0,3.8000000000000007,198.15101084000005,247.00000000000006,48.84898916,9379.5,expired_worthless,-0.32271854985593706,17.280839,1.0,0.3,100.0,1.0,
NIFTY,2025,8,2025-07-22,2025-08-26,2025-08-26,35,0,25064.9,24712.05,24800.0,24700.0,100.0,15.649999999999999,87.95000000000073,-72.30000000000072,-4753.429160360048,-4699.500000000047,53.92916036,8224.125,partial_loss,-0.29809426053348076,10.602095,1.0,0.3,100.0,1.0,
NIFTY,2025,9,2025-08-26,2025-09-30,2025-09-30,35,0,24710.7,24611.1,24450.0,24350.0,100.0,3.9000000000000004,0.0,3.9000000000000004,205.05179642000002,253.50000000000003,48.44820358,9369.75,expired_worthless,-0.3011375712905672,10.78,1.0,0.3,100.0,1.0,
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-28,35,0,25184.9,25936.2,25000.0,24900.0,100.0,14.400000000000002,0.0,14.400000000000002,883.3689458000001,936.0000000000001,52.63105420000001,8346.0,expired_worthless,-0.30558943491996093,8.88,1.0,0.3,100.0,1.0,
NIFTY,2025,11,2025-10-21,2025-11-25,2025-11-25,35,0,25833.3,25884.8,25600.0,25500.0,100.0,14.75,0.0,14.75,905.89512324,958.75,52.854876759999996,8311.875,expired_worthless,-0.2990577973720785,9.65,1.0,0.3,100.0,1.0,
NIFTY,2026,1,2025-12-23,2026-01-27,2026-01-27,35,0,26165.95,25175.4,25950.0,25850.0,100.0,13.95,100.0,-86.05,-5699.81614294,-5593.25,106.56614293999988,10067.85,max_loss,-0.28977023027045323,8.673366,1.2,0.3,100.0,1.0,
NIFTY,2026,2,2026-01-20,2026-02-24,2026-02-24,35,0,25225.35,25424.65,24850.0,24750.0,100.0,10.5,0.0,10.5,629.1623776,682.5,53.3376224,8726.25,expired_worthless,-0.29469197837244077,13.198932,1.0,0.3,100.0,1.0,
NIFTY,2026,3,2026-02-23,2026-03-30,2026-03-30,35,0,25704.0,22331.4,25300.0,25200.0,100.0,3.0,100.0,-97.0,-6587.193259539999,-6305.0,282.1932595399999,9457.5,max_loss,-0.35671292226692075,21.328596,1.0,0.3,100.0,1.0,
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-28,35,0,22217.65,22326.9,21850.0,21700.0,150.0,16.099999999999998,0.0,16.099999999999998,993.8730587399998,1046.4999999999998,52.626941259999995,13055.25,expired_worthless,-0.2968697147116397,14.483957,1.0,0.3,150.0,1.0,
NIFTY,2024,4,2024-03-21,2024-04-25,2024-04-25,35,0,22014.8,22570.35,21800.0,21650.0,150.0,17.599999999999998,0.0,17.599999999999998,1092.0975814999997,1143.9999999999998,51.902418499999996,15490.8,expired_worthless,-0.30466893842334786,10.466896,1.2,0.3,150.0,1.0,
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22450.0,150.0,17.200000000000003,0.0,17.200000000000003,1064.4367337400001,1118.0000000000002,53.56326626,6474.0,expired_worthless,-0.30678153301772404,14.484429,0.5,0.3,150.0,1.0,
NIFTY,2024,7,2024-06-20,2024-07-25,2024-07-25,35,0,23579.15,24406.1,23250.0,23100.0,150.0,17.5,0.0,17.5,1085.44204404,1137.5,52.05795596,12918.75,expired_worthless,-0.2927230709430595,12.453311,1.0,0.3,150.0,1.0,
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-26,35,0,24810.9,26216.05,24500.0,24350.0,150.0,17.1,0.0,17.1,1059.36809588,1111.5,52.13190412,12957.75,expired_worthless,-0.29302183685673056,11.553228,1.0,0.3,150.0,1.0,
NIFTY,2024,11,2024-10-24,2024-11-28,2024-11-28,35,0,24414.6,23914.15,24050.0,23900.0,150.0,16.65,135.84999999999854,-119.19999999999854,-7800.929200619906,-7747.999999999905,52.92920062,13001.625,partial_loss,-0.2974504788923489,13.449682,1.0,0.3,150.0,1.0,
NIFTY,2025,3,2025-02-20,2025-03-27,2025-03-27,35,0,22906.25,23591.95,22550.0,22400.0,150.0,19.1,0.0,19.1,1188.71356512,1241.5,52.78643488,12762.75,expired_worthless,-0.29979084864981786,14.058411,1.0,0.3,150.0,1.0,
NIFTY,2025,8,2025-07-22,2025-08-26,2025-08-26,35,0,25064.9,24712.05,24800.0,24650.0,150.0,21.299999999999997,87.95000000000073,-66.65000000000073,-4385.949731940047,-4332.250000000047,53.69973194,12548.25,partial_loss,-0.29809426053348076,10.602095,1.0,0.3,150.0,1.0,
NIFTY,2025,9,2025-08-26,2025-09-30,2025-09-30,35,0,24710.7,24611.1,24450.0,24300.0,150.0,5.05,0.0,5.05,279.84849424,328.25,48.40150576,14132.625,expired_worthless,-0.3011375712905672,10.78,1.0,0.3,150.0,1.0,
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-28,35,0,25184.9,25936.2,25000.0,24850.0,150.0,19.800000000000004,0.0,19.800000000000004,1234.5882225200003,1287.0000000000002,52.41177748,12694.5,expired_worthless,-0.30558943491996093,8.88,1.0,0.3,150.0,1.0,
NIFTY,2025,11,2025-10-21,2025-11-25,2025-11-25,35,0,25833.3,25884.8,25600.0,25450.0,150.0,19.8,0.0,19.8,1234.35018758,1287.0,52.64981242,12694.5,expired_worthless,-0.2990577973720785,9.65,1.0,0.3,150.0,1.0,
NIFTY,2026,1,2025-12-23,2026-01-27,2026-01-27,35,0,26165.95,25175.4,25950.0,25800.0,150.0,18.85,150.0,-131.15,-8627.05466962,-8524.75,102.30466961999988,15344.55,max_loss,-0.28977023027045323,8.673366,1.2,0.3,150.0,1.0,
NIFTY,2024,3,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,637.7229632599999,737.7499999999999,100.02703674,8643.375,profit_take,-0.2968697147116397,14.483957,1.0,0.3,100.0,0.5,21
NIFTY,2024,4,2024-03-21,2024-04-25,2024-03-27,35,29,22014.8,22570.35,21800.0,21700.0,100.0,12.799999999999997,0.8,11.999999999999996,680.5042802799998,779.9999999999998,99.49571972,10202.4,profit_take,-0.30466893842334786,10.466896,1.2,0.3,100.0,0.5,21
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-07,35,20,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.25,12.25,671.4317438200001,796.25,124.81825617999999,4265.625,profit_take,-0.30678153301772404,14.484429,0.5,0.3,100.0,0.5,21
NIFTY,2024,7,2024-06-20,2024-07-25,2024-06-25,35,30,23579.15,24406.1,23250.0,23150.0,100.0,12.25,2.8499999999999996,9.4,509.85508208,611.0,101.14491792,8555.625,profit_take,-0.2927230709430595,12.453311,1.0,0.3,100.0,0.5,21
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-06,35,20,24810.9,26216.05,24500.0,24400.0,100.0,13.0,28.55000000000001,-15.550000000000011,-1134.3239890000007,-1010.7500000000007,123.57398900000001,8482.5,managed,-0.29302183685673056,11.553228,1.0,0.3,100.0,0.5,21
NIFTY,2024,11,2024-10-24,2024-11-28,2024-10-29,35,30,24414.6,23914.15,24050.0,23950.0,100.0,12.049999999999997,2.25,9.799999999999997,535.2798440399997,636.9999999999998,101.72015596,8575.125,profit_take,-0.2974504788923489,13.449682,1.0,0.3,100.0,0.5,21
NIFTY,2024,12,2024-11-21,2024-12-26,2024-12-26,35,0,23346.75,23750.2,22950.0,22850.0,100.0,16.200000000000003,0.0,16.200000000000003,996.0708509600003,1053.0000000000002,56.92914904,8170.5,expired_worthless,-0.3259205417150256,17.817483,1.0,0.3,100.0,0.5,21
NIFTY,2025,2,2025-01-23,2025-02-27,2025-02-11,35,16,23216.3,22545.05,22800.0,22700.0,100.0,12.449999999999996,26.450000000000003,-14.000000000000007,-1029.4356017600005,-910.0000000000005,119.43560176,8536.125000000002,managed,-0.3032385984527599,16.022788,1.0,0.3,100.0,0.5,21
NIFTY,2025,3,2025-02-20,2025-03-27,2025-02-27,35,28,22906.25,23591.95,22550.0,22450.0,100.0,14.25,4.95,9.3,504.1084053,604.5,100.3915947,8360.625,profit_take,-0.29979084864981786,14.058411,1.0,0.3,100.0,0.5,21
NIFTY,2025,4,2025-03-25,2025-04-29,2025-03-27,35,33,23605.95,24335.95,23200.0,23100.0,100.0,3.8000000000000007,0.05,3.750000000000001,147.54029054000006,243.75000000000006,96.20970946,11255.4,profit_take,-0.3276823741432632,18.211203,1.2,0.3,100.0,0.5,21
NIFTY,2025,5,2025-04-22,2025-05-27,2025-05-08,35,19,24134.05,24826.2,23750.0,23650.0,100.0,15.200000000000003,25.69999999999999,-10.499999999999986,-826.375995399999,-682.4999999999991,143.8759954,8268.0,managed,-0.31662328368849724,15.894331,1.0,0.3,100.0,0.5,21
NIFTY,2025,6,2025-05-20,2025-06-24,2025-06-03,35,21,24713.85,25044.35,24300.0,24200.0,100.0,17.700000000000003,29.75,-12.049999999999997,-922.3272526199997,-783.2499999999998,139.07725262,4012.125,managed,-0.3163693582368333,16.506795,0.5,0.3,100.0,0.5,21
NIFTY,2025,7,2025-06-24,2025-07-29,2025-07-21,35,8,25071.55,24821.1,24650.0,24550.0,100.0,3.8000000000000007,1.8999999999999986,1.9000000000000021,22.440042800000143,123.50000000000014,101.0599572,9379.5,profit_take,-0.32271854985593706,17.280839,1.0,0.3,100.0,0.5,21
NIFTY,2025,8,2025-07-22,2025-08-26,2025-07-23,35,34,25064.9,24712.05,24800.0,24700.0,100.0,15.649999999999999,5.5,10.149999999999999,556.0099396599999,659.7499999999999,103.74006034,8224.125,profit_take,-0.29809426053348076,10.602095,1.0,0.3,100.0,0.5,21
NIFTY,2025,9,2025-08-26,2025-09-30,2025-08-28,35,33,24710.7,24611.1,24450.0,24350.0,100.0,3.9000000000000004,0.0,3.9000000000000004,157.84458324000002,253.50000000000003,95.65541676,9369.75,profit_take,-0.3011375712905672,10.78,1.0,0.3,100.0,0.5,21
