v3_first_fire,entry_date,expiry,trade_found,outcome,bp_per_lot,pnl_per_lot,lots_fixed,pnl_fixed,lots_compound,pnl_compound,equity_after_compound
2024-02-22,2024-02-22,2024-03-28,True,profit_take,8643.0,737.75,115,84841.0,115,84841.0,1084841.0
2024-05-03,2024-05-03,2024-05-30,True,profit_take,7410.0,793.0,134,106262.0,146,115778.0,1200619.0
2024-05-23,2024-05-23,2024-06-27,True,profit_take,8531.0,796.25,117,93161.0,140,111475.0,1312094.0
2024-09-06,2024-08-22,2024-09-26,True,profit_take,8482.0,1732.25,117,202673.0,154,266767.0,1578861.0
2024-11-22,2024-11-21,2024-12-26,True,expired_worthless,8170.0,1053.0,122,128466.0,193,203229.0,1782090.0
2025-01-06,2025-01-06,2025-01-30,True,profit_take,7244.0,1657.5,138,228735.0,246,407745.0,2189835.0
2025-04-24,2025-04-22,2025-05-27,True,managed,8268.0,-682.5,120,-81900.0,264,-180180.0,2009655.0
2025-10-30,2025-10-21,2025-11-25,True,profit_take,8312.0,910.0,120,109200.0,241,219310.0,2228965.0
