underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,param_delta,param_width,param_pt,param_manage
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,0.3,100.0,0.5,21
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100,25.69999999999999,0.2,25.49999999999999,1536.1627613599994,1657.4999999999993,121.33723864000001,7244.250000000002,profit_take,-0.3112376585451684,16.96243,1.0,0.3,100.0,0.5,21
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-30,27,0,22456.7,22488.65,22100.0,22000.0,100,24.0,0.0,24.0,1491.4137052,1560.0,68.58629479999999,3705.0,expired_worthless,-0.29536723537548604,14.787354,0.5,0.3,100.0,1.0,0
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100,25.69999999999999,0.5,25.19999999999999,1563.8997354399994,1637.9999999999993,74.10026456,7244.250000000002,partial_loss,-0.3112376585451684,16.96243,1.0,0.3,100.0,1.0,0
