underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,cycle_id,trade_id,first_fire_date,selection_id,v3_first_fire,variant,param_delta,param_width,param_pt,param_manage
NIFTY,2024,2,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,637.7229632599999,737.7499999999999,100.02703674,8643.375,profit_take,-0.2968697147116397,14.483957,1.0,NIFTY:2024-03-28:3.0.2,6ed5c71ba23002f8,2024-02-22,NIFTY:2024-03-28:3.0.2:live_rule:pt50,2024-02-22,pt50,0.3,100.0,0.5,21
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100.0,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,NIFTY:2024-05-30:3.0.2,36067862e9192a09,2024-05-03,NIFTY:2024-05-30:3.0.2:live_rule:pt50,2024-05-03,pt50,0.3,100.0,0.5,21
NIFTY,2024,5,2024-05-23,2024-06-27,2024-06-07,35,20,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.25,12.25,671.4317438200001,796.25,124.81825617999999,4265.625,profit_take,-0.30678153301772404,14.484429,0.5,NIFTY:2024-06-27:3.0.2,ab730c61b1eb38ec,2024-05-23,NIFTY:2024-06-27:3.0.2:live_rule:pt50,2024-05-23,pt50,0.3,100.0,0.5,21
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-06,20,20,24868.5,26216.05,24450.0,24350.0,100.0,24.0,24.0,0.0,-140.75189468,0.0,140.75189468,7410.0,managed,-0.2948679898975566,16.886682,1.0,NIFTY:2024-09-26:3.0.2,1f2d8c3128c230ff,2024-09-06,NIFTY:2024-09-26:3.0.2:live_rule:pt50,2024-09-06,pt50,0.3,100.0,0.5,21
NIFTY,2024,11,2024-11-22,2024-12-26,2024-12-23,34,3,23873.5,23750.2,23450.0,23350.0,100.0,14.450000000000003,5.699999999999999,8.750000000000004,463.8061945200002,568.7500000000002,104.94380548000001,8341.125,profit_take,-0.3233053849876759,18.223543,1.0,NIFTY:2024-12-26:3.0.2,a0352e8025d9384a,2024-11-22,NIFTY:2024-12-26:3.0.2:live_rule:pt50,2024-11-22,pt50,0.3,100.0,0.5,21
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100.0,25.69999999999999,0.2,25.49999999999999,1536.1627613599994,1657.4999999999993,121.33723864000001,7244.250000000002,profit_take,-0.3112376585451684,16.96243,1.0,NIFTY:2025-01-30:3.0.2,ddaad32ee954840a,2025-01-06,NIFTY:2025-01-30:3.0.2:live_rule:pt50,2025-01-06,pt50,0.3,100.0,0.5,21
NIFTY,2025,4,2025-04-24,2025-05-27,2025-05-08,33,19,24245.05,24826.2,23850.0,23750.0,100.0,15.799999999999997,25.0,-9.200000000000003,-745.9491455200002,-598.0000000000002,147.94914552,8209.5,managed,-0.33433170172473314,18.540103,1.0,NIFTY:2025-05-27:3.0.2,b3dbc4b0d0c74263,2025-04-24,NIFTY:2025-05-27:3.0.2:live_rule:pt50,2025-04-24,pt50,0.3,100.0,0.5,21
NIFTY,2025,10,2025-10-30,2025-11-25,2025-11-17,26,8,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,8.400000000000002,12.300000000000015,681.832035540001,799.500000000001,117.66796446,7731.749999999998,profit_take,-0.2982253474079818,11.62,1.0,NIFTY:2025-11-25:3.0.2,d7bde6e58675da5c,2025-10-30,NIFTY:2025-11-25:3.0.2:live_rule:pt50,2025-10-30,pt50,0.3,100.0,0.5,21
