variant,n_injected,n_iter,p_final_above_capital,p5_final_equity,p50_final_equity,p95_final_equity,median_max_dd_pct,p95_max_dd_pct,p50_total_fixed
pt50,0,5000,0.9398,970845.9210674402,1754418.59869933,2897383.7675651363,13.341623230508066,32.30168172226,637378.2272682703
pt50,1,5000,0.0026,-590538.5642587265,463050.23343249,797191.4257903403,71.31271592857246,100.0,-247645.32299239008
pt50,2,5000,0.0,-497865.82493984903,108615.78754722002,229267.31166287902,91.26476271264715,100.0,-1193361.36339653
pt50,3,5000,0.0,-443009.9067253403,-46853.936842699986,67025.67928513016,100.0,100.0,-2131621.94153563
hte,0,5000,1.0,2338638.698750488,3224440.17678036,4943485.037209964,0.0,0.0,1288770.6571099602
hte,1,5000,0.2508,-836922.1866986823,822189.0062091497,1301717.0458375742,67.24911191026077,100.0,334567.3870571801
hte,2,5000,0.0,-610226.867290966,207477.63074005005,350020.8462755013,89.17443785112573,100.0,-623588.11800112
hte,3,5000,0.0,-492055.3327356002,-64611.31840775996,96039.8591551071,100.0,100.0,-1677234.39763038
