n,win_rate,avg_pnl_contract,total_pnl_contract,worst_cycle_pnl,best_cycle_pnl,avg_buying_power,avg_return_on_bp_per_cycle,max_loss_rate,expired_worthless_rate,profit_take_rate,managed_rate,underlying,target_delta,spread_width,profit_take,manage_at_dte
20,0.75,-894.9114519250027,-17898.229038500052,-6587.193259539999,1091.9438770400002,8460.51375,-0.105775072101857,0.2,0.75,0.0,0.0,NIFTY,0.3,100.0,1.0,
12,0.75,-965.1013015683293,-11581.215618819951,-8627.05466962,1234.5882225200003,12839.612499999997,-0.07516592121205601,0.08333333333333333,0.75,0.0,0.0,NIFTY,0.3,150.0,1.0,
20,0.75,152.698569283,3053.97138566,-1134.3239890000007,996.0708509600003,8460.51375,0.018048380251494776,0.0,0.05,0.7,0.25,NIFTY,0.3,100.0,0.5,21.0
12,0.75,255.44593927833344,3065.3512713400014,-1955.4730265399996,1111.6465981200001,12839.612499999997,0.019895143975593773,0.0,0.0,0.75,0.25,NIFTY,0.3,150.0,0.5,21.0
6,0.6666666666666666,-2173.4723627833505,-13040.834176700104,-9399.1727441,1118.82822686,14795.025,-0.14690562285520642,0.16666666666666666,0.6666666666666666,0.0,0.0,BANKNIFTY,0.3,300.0,1.0,
3,0.6666666666666666,-1110.9886574000338,-3332.9659722001015,-6139.561322320102,1495.31327776,25536.350000000002,-0.04350616503141732,0.0,0.6666666666666666,0.0,0.0,BANKNIFTY,0.3,500.0,1.0,
6,0.5,-1973.3418936166665,-11840.0513617,-5977.479813660003,1071.62434284,14795.025,-0.1333787468163566,0.0,0.0,0.5,0.5,BANKNIFTY,0.3,300.0,0.5,21.0
3,0.6666666666666666,-1358.2829398999993,-4074.848819699998,-6785.285308519998,1448.10939374,25536.350000000002,-0.053190175569335446,0.0,0.0,0.6666666666666666,0.3333333333333333,BANKNIFTY,0.3,500.0,0.5,21.0
