exit_rule,profit_take,manage_at_dte,n,win_rate,avg_pnl_contract,total_pnl_contract,worst_cycle_pnl,best_cycle_pnl,std_pnl_contract,sharpe,sortino,max_loss_rate
PT25,0.25,21.0,20,0.85,130.68502885100003,2613.7005770200003,-1029.4356017600005,996.0708509600003,513.3575553350826,0.8818536219294162,4.4566087466197875,0.0
PT50,0.5,21.0,20,0.75,152.698569283,3053.97138566,-1134.3239890000007,996.0708509600003,679.9114529755257,0.7779886015561873,2.782236855690682,0.0
PT75,0.75,21.0,20,0.6,-104.712342748,-2094.24685496,-2358.960065820001,996.0708509600003,939.0314087017505,-0.3862854770105079,-0.528879130785579,0.0
HTE,1.0,,20,0.75,-894.9114519250027,-17898.229038500052,-6587.193259539999,1091.9438770400002,2880.9350865376523,-1.0760618038584044,-4.7683388587627595,0.2
DTE2,1.0,2.0,20,0.65,-525.8907676690001,-10517.815353380001,-6587.193259539999,1091.9438770400002,2433.0282974349925,-0.7487537484002038,-0.62516960140597,0.1
