n,wins,win_rate,max_losses,max_loss_rate,total_pnl,avg_monthly_pnl,median_monthly_pnl,worst_month_pnl,best_month_pnl,pnl_std_dollars,avg_buying_power,avg_net_credit,avg_return_on_bp_per_cycle,annualized_return_on_bp,underlying,target_delta,target_dte,profit_take,manage_at_dte,spread_width
22,19,0.8636363636363636,2,0.09090909090909091,1504.8800000000006,68.4036363636364,170.02999999999997,-807.9200000000001,215.59999999999997,287.35182256078406,813.2272727272727,1.830372727272727,0.08166283950715753,1.0093656028170592,IWM,0.3,35,1.0,,10.0
22,19,0.8636363636363636,2,0.09090909090909091,1202.2799999999995,54.64909090909089,143.57,-841.24,188.16000000000003,286.71745293612986,843.8181818181819,1.5305818181818183,0.06225537056623169,0.7771687136393014,IWM,0.25,35,1.0,,10.0
21,19,0.9047619047619048,1,0.047619047619047616,947.5,45.11904761904762,115.64000000000001,-868.68,156.8,242.28011783687,877.3333333333334,1.2021333333333333,0.050437443169031294,0.6171298306556665,IWM,0.2,35,1.0,,10.0
22,17,0.7727272727272727,2,0.09090909090909091,854.44,38.83818181818182,101.43,-381.42,127.39999999999998,149.90493265610723,389.6363636363636,1.0815636363636363,0.09620671825414781,1.1961362575828278,IWM,0.3,35,1.0,,5.0
22,19,0.8636363636363636,2,0.09090909090909091,887.1999999999992,40.32727272727269,88.69,-401.02000000000004,112.7,145.17075352123132,404.90909090909093,0.9318909090909091,0.09676566262376642,1.1951504265828456,IWM,0.25,35,1.0,,5.0
22,20,0.9090909090909091,2,0.09090909090909091,641.62,29.164545454545454,72.03,-416.70000000000005,92.12000000000003,144.27304060364725,424.0,0.7448,0.06691624929566559,0.8254116638078902,IWM,0.2,35,1.0,,5.0
