cycle,underlying,entry_date,expiry,exit_date,short_strike,long_strike,width,dte_entry,spot_entry,spot_exit,short_entry_premium,long_entry_premium,net_credit_entry,net_credit_exit,short_entry_iv,short_entry_delta,pnl_per_share,pnl_dollars,max_loss,buying_power,return_on_bp,outcome,param_delta,param_dte,param_width,param_pt,param_manage
9,IWM,2025-01-17,2025-02-21,2025-02-21,217.0,212.0,5.0,35,225.46,217.8,2.18,1.29,0.8722000000000001,0.0,0.205364754486084,-0.2474841729072009,0.8722000000000001,87.22000000000001,4.109999999999999,410.99999999999994,0.21221411192214118,expired_worthless,0.25,35,5.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,219.0,214.0,5.0,35,225.97,203.79,2.49,1.48,0.9898000000000002,5.0,0.20002905340194704,-0.27848329589952486,-4.0102,-401.02000000000004,3.9899999999999998,399.0,-1.005062656641604,max_loss,0.25,35,5.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-09,170.0,165.0,5.0,35,184.36,200.81,3.88,2.92,0.9408,0.0,0.4368359550476075,-0.24485597805363363,0.9408,94.08,4.04,404.0,0.23287128712871286,profit_take,0.25,35,5.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,199.0,194.0,5.0,35,209.85,209.21,1.71,1.08,0.6173999999999998,0.0,0.2261925849914551,-0.2011115283361529,0.6173999999999998,61.73999999999998,4.37,437.0,0.1412814645308924,profit_take,0.25,35,5.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-18,201.0,196.0,5.0,35,208.89,222.33,3.36,2.29,1.0485999999999998,0.0,0.2685444143295288,-0.29371935130752047,1.0485999999999998,104.85999999999997,3.93,393.0,0.2668193384223918,profit_take,0.25,35,5.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-14,213.0,208.0,5.0,35,221.7,228.24,2.7,1.74,0.9408000000000002,0.0,0.23533813877105714,-0.2647113249151161,0.9408000000000002,94.08000000000001,4.04,404.0,0.2328712871287129,profit_take,0.25,35,5.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-15,219.0,214.0,5.0,35,227.13,239.35,2.9,1.98,0.9016,0.0,0.23117066535949704,-0.2779678247054437,0.9016,90.16,4.08,408.0,0.22098039215686274,profit_take,0.25,35,5.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-17,229.0,224.0,5.0,35,238.34,243.41,2.66,1.66,0.9800000000000002,0.0,0.22505773525238038,-0.2567223378228955,0.9800000000000002,98.00000000000001,4.0,400.0,0.24500000000000002,profit_take,0.25,35,5.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,234.0,229.0,5.0,35,243.41,235.6,3.89,2.74,1.127,0.0,0.2702419206619263,-0.2909191944655876,1.127,112.7,3.85,385.0,0.2927272727272727,profit_take,0.25,35,5.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-16,227.0,222.0,5.0,35,237.48,249.9,3.5,2.45,1.029,0.0,0.27452383270263675,-0.27075147229462254,1.029,102.89999999999999,3.95,395.0,0.260506329113924,profit_take,0.25,35,5.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-13,243.0,238.0,5.0,35,253.85,261.35,2.57,1.66,0.8917999999999999,0.0,0.22425666484832762,-0.2391936958009526,0.8917999999999999,89.17999999999999,4.09,409.0,0.2180440097799511,profit_take,0.25,35,5.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,257.0,252.0,5.0,35,265.76,264.61,2.86,1.97,0.8721999999999999,0.0,0.20358141918182376,-0.26997496673342486,0.8721999999999999,87.21999999999998,4.11,411.00000000000006,0.21221411192214104,profit_take,0.25,35,5.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,253.0,248.0,5.0,35,262.96,242.22,4.36,3.2,1.1368,5.0,0.27350342159271246,-0.29613363355997635,-3.8632,-386.32,3.84,384.0,-1.0060416666666667,max_loss,0.25,35,5.0,1.0,
23,IWM,2026-03-13,2026-04-17,2026-04-13,237.0,232.0,5.0,35,246.59,265.07,3.58,2.66,0.9016,0.0,0.2570385638237,-0.28171700104081493,0.9016,90.16,4.08,408.0,0.22098039215686274,profit_take,0.25,35,5.0,1.0,
1,IWM,2024-05-17,2024-06-21,2024-06-21,200.0,195.0,5.0,35,208.08,200.35,1.53,0.8,0.7153999999999999,0.0,0.18438433914184568,-0.21861903075409325,0.7153999999999999,71.53999999999999,4.27,426.99999999999994,0.1675409836065574,profit_take,0.2,35,5.0,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-12,191.0,186.0,5.0,35,198.73,213.14,1.71,0.96,0.735,0.0,0.19800253601074216,-0.23308884283180997,0.735,73.5,4.25,425.0,0.17294117647058824,profit_take,0.2,35,5.0,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,204.0,199.0,5.0,35,213.14,212.6,1.54,0.82,0.7056000000000001,0.0,0.1933105522155762,-0.20774222648978027,0.7056000000000001,70.56000000000002,4.28,428.0,0.16485981308411218,profit_take,0.2,35,5.0,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-19,201.0,196.0,5.0,35,212.6,223.97,1.53,0.86,0.6566000000000001,0.0,0.22212047710418703,-0.1852345402547762,0.6566000000000001,65.66000000000001,4.33,433.0,0.15163972286374136,profit_take,0.2,35,5.0,1.0,
5,IWM,2024-09-13,2024-10-18,2024-10-17,203.0,198.0,5.0,35,216.83,226.12,1.75,1.1,0.6369999999999999,0.0,0.2555460933685303,-0.1808650817574867,0.6369999999999999,63.69999999999999,4.35,434.99999999999994,0.1464367816091954,profit_take,0.2,35,5.0,1.0,
6,IWM,2024-10-11,2024-11-15,2024-11-12,209.0,204.0,5.0,35,221.26,237.46,2.44,1.62,0.8035999999999999,0.0,0.267981757736206,-0.2217396011594068,0.8035999999999999,80.35999999999999,4.18,418.0,0.19224880382775117,profit_take,0.2,35,5.0,1.0,
7,IWM,2024-11-15,2024-12-20,2024-12-13,216.0,211.0,5.0,35,228.48,233.07,1.96,1.26,0.6859999999999999,0.0,0.23857103004455568,-0.2005400337360528,0.6859999999999999,68.6,4.3,430.0,0.15953488372093022,profit_take,0.2,35,5.0,1.0,
8,IWM,2024-12-13,2025-01-17,2025-01-17,220.0,215.0,5.0,35,233.07,225.46,1.71,1.1,0.5977999999999999,-0.020399999999999998,0.2275467754364014,-0.18441226890121415,0.6181999999999999,61.819999999999986,4.390000000000001,439.00000000000006,0.1408200455580865,profit_take,0.2,35,5.0,1.0,
9,IWM,2025-01-17,2025-02-21,2025-02-21,215.0,210.0,5.0,35,225.46,217.8,1.83,1.1,0.7153999999999999,0.0,0.2122787549972534,-0.2109491907363249,0.7153999999999999,71.53999999999999,4.27,426.99999999999994,0.1675409836065574,profit_take,0.2,35,5.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,217.0,212.0,5.0,35,225.97,203.79,2.04,1.19,0.8330000000000001,5.0,0.20459229373931886,-0.2356381877697843,-4.167000000000001,-416.70000000000005,4.15,415.00000000000006,-1.0040963855421687,max_loss,0.2,35,5.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-06,167.0,162.0,5.0,35,184.36,196.77,3.49,2.55,0.9212000000000004,0.0,0.4616882106781005,-0.2160483198957993,0.9212000000000004,92.12000000000003,4.06,405.99999999999994,0.22689655172413806,profit_take,0.2,35,5.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,195.0,190.0,5.0,35,209.85,209.21,1.16,0.76,0.3919999999999999,0.0,0.2385328838348389,-0.14166158274626878,0.3919999999999999,39.19999999999999,4.6,459.99999999999994,0.08521739130434781,profit_take,0.2,35,5.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-03,198.0,193.0,5.0,35,208.89,223.08,2.57,1.87,0.6859999999999997,0.0,0.2726546684265137,-0.23772008595267394,0.6859999999999997,68.59999999999997,4.300000000000001,430.00000000000006,0.15953488372093014,profit_take,0.2,35,5.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-15,211.0,206.0,5.0,35,221.7,227.13,2.28,1.46,0.8035999999999999,0.0,0.2408311929702759,-0.22883650538105163,0.8035999999999999,80.35999999999999,4.18,418.0,0.19224880382775117,profit_take,0.2,35,5.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-18,216.0,211.0,5.0,35,227.13,244.84,2.31,1.48,0.8134,0.0,0.24159411716461188,-0.2263380563784913,0.8134,81.34,4.17,417.0,0.19505995203836932,profit_take,0.2,35,5.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-16,227.0,222.0,5.0,35,238.34,245.06,2.21,1.34,0.8525999999999999,-0.010200000000000002,0.22810943202972417,-0.2207058088418944,0.8627999999999999,86.27999999999999,4.13,413.0,0.208910411622276,profit_take,0.2,35,5.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,230.0,225.0,5.0,35,243.41,235.6,2.83,2.09,0.7252000000000002,0.0,0.2735844822883606,-0.2271051730239103,0.7252000000000002,72.52000000000002,4.26,426.0,0.1702347417840376,profit_take,0.2,35,5.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-18,225.0,220.0,5.0,35,237.48,248.71,3.04,2.1,0.9211999999999999,0.0,0.2790060123443604,-0.24056076914739297,0.9211999999999999,92.11999999999999,4.0600000000000005,406.00000000000006,0.22689655172413786,profit_take,0.2,35,5.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-15,241.0,236.0,5.0,35,253.85,265.51,2.25,1.47,0.7644,0.0,0.231528286075592,-0.21066909888111107,0.7644,76.44,4.22,422.0,0.18113744075829383,profit_take,0.2,35,5.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,254.0,249.0,5.0,35,265.76,264.61,2.27,1.52,0.735,0.0,0.21142046527862546,-0.2201038883276301,0.735,73.5,4.25,425.0,0.17294117647058824,profit_take,0.2,35,5.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,248.0,243.0,5.0,35,262.96,242.22,3.2,2.32,0.8624000000000003,5.0,0.28427972583770755,-0.2280794319332521,-4.137599999999999,-413.7599999999999,4.119999999999999,411.99999999999994,-1.004271844660194,max_loss,0.2,35,5.0,1.0,
23,IWM,2026-03-13,2026-04-17,2026-04-14,234.0,229.0,5.0,35,246.59,268.72,2.96,2.12,0.8231999999999998,0.0,0.26657034797668455,-0.23753053037018282,0.8231999999999998,82.31999999999998,4.16,416.0,0.19788461538461533,profit_take,0.2,35,5.0,1.0,
